,아이템 이름,등장 횟수,등장 확률
전설캐릭,초록사월 아낙,828,0.11%
전설캐릭,쿤 란,800,0.10%
전설캐릭,하 유리,859,0.11%
전설캐릭,사냥꾼 라크,797,0.10%
전설캐릭,유한성,794,0.10%
전설캐릭,화련,778,0.10%
전설캐릭,시아시아,812,0.10%
전설캐릭,우렉 마지노,835,0.11%
전설캐릭,리플레조,808,0.10%
전설캐릭,베타,769,0.10%
전설캐릭,에반,842,0.11%
전설캐릭,백천경 쿤,276,0.04%
전설캐릭,연이화,1044,0.13%
전설무기,초록사월(폼 체인지),125,0.02%
전설무기,검은 삼월,120,0.02%
전설무기,푸른번개의 핵,133,0.02%
전설무기,고고한 힘의 머리핀,364,0.05%
전설무기,백천경,71,0.01%
전설무기,익스플로드 너클 블레이드,159,0.02%
전설무기,매드쇼커,130,0.02%
전설무기,가시,126,0.02%
전설무기,신수제어의 헤어핀,126,0.02%
전설무기,레드 트윈 블레이드,119,0.02%
전설무기,블랙래빗폭탄,135,0.02%
전설무기,마지노 윙트리,123,0.02%
전설무기,개구리 피셔,141,0.02%
전설무기,어두운 신수의 리퍼,124,0.02%
전설무기,살아있는 시동무기_프로토타입,122,0.02%
전설무기,자하드 레바테인,137,0.02%
전설무기,퍼그 완드,138,0.02%
전설무기,가디언 보우,127,0.02%
전설무기,블루 룬 엔젤릭 스피어,113,0.01%
영웅캐릭,엔도르시,4045,0.52%
영웅캐릭,하츠,4149,0.53%
영웅캐릭,호량,4175,0.53%
영웅캐릭,미생,4190,0.54%
영웅캐릭,쿤 A.A,4196,0.54%
영웅캐릭,로 포 비아 렌,4147,0.53%
영웅캐릭,라헬,4244,0.54%
영웅캐릭,자왕난,4243,0.54%
영웅캐릭,라우뢰,4133,0.53%
영웅캐릭,러브,4153,0.53%
영웅캐릭,노빅,4107,0.53%
영웅캐릭,퀀트 블릿츠,4094,0.52%
영웅캐릭,십이수,4217,0.54%
영웅캐릭,미니 라크,4157,0.53%
영웅무기,레드아이 니들,2446,0.31%
영웅무기,동해,2508,0.32%
영웅무기,신수의 건틀릿,2485,0.32%
영웅무기,수상한 메신저백,2522,0.32%
영웅무기,렌의 플레일,2597,0.33%
영웅무기,노란 등대,2544,0.33%
영웅무기,포근한 이불,2498,0.32%
영웅무기,이그니션 건틀릿,2616,0.34%
영웅무기,레빗돌,2571,0.33%
영웅무기,푸른 글러브,2471,0.32%
영웅무기,반물질 폭탄,2534,0.32%
영웅무기,트윈서클 부매랑,2525,0.32%
영웅무기,재빠른 글러브,2478,0.32%
영웅무기,초 필살 킹 오브 매저스티 옵저버,2513,0.32%
영웅무기,라센 쿠나이,2582,0.33%
영웅무기,핑크 쿠르카,2476,0.32%
영웅무기,어트렉트 블레이드,2631,0.34%
영웅무기,엔젤릭 블레이드,2509,0.32%
영웅무기,다크 체이서 북,2493,0.32%
영웅무기,크라운 보우,2554,0.33%
희귀무기,카오스 대거,5791,0.74%
희귀무기,와이드 스피어,5746,0.74%
희귀무기,체인 소드,5904,0.76%
희귀무기,사이로 소드,5826,0.75%
희귀무기,사이로 스피어,5886,0.75%
희귀무기,레인보우 소드,5845,0.75%
희귀무기,레인보우 스피어,5654,0.72%
희귀무기,본 대거,5869,0.75%
희귀무기,본 블레이드,5827,0.75%
희귀무기,본 스틱,5787,0.74%
희귀무기,본 로드,5787,0.74%
희귀무기,극동의 스틱,5876,0.75%
희귀무기,극동의 트윈 블레이드,5885,0.75%
희귀무기,엔젤 스틱,5964,0.76%
희귀무기,냥냥 메이스,5896,0.76%
희귀무기,냥냥 블레이드,5815,0.74%
희귀무기,마법공학 클레이모어,5806,0.74%
희귀무기,마법공학 스피어,5834,0.75%
희귀무기,마법공학 엑스,5846,0.75%
희귀무기,레드포인트 보우,5929,0.76%
희귀무기,블루 신수의 로드,5901,0.76%
희귀무기,신해어 커틀러스,5878,0.75%
희귀무기,골든 레이피어,5931,0.76%
희귀무기,블루포인트 랜스,5891,0.75%
고급무기,블루 룬 보우,42772,5.48%
고급무기,핑크 룬 스틱,43493,5.57%
고급무기,블루 룬 해머,43193,5.53%
고급무기,레드 너클,43446,5.56%
고급무기,블루 룬 엑스,43152,5.53%
고급무기,레드 룬 소드,43216,5.54%
고급무기,레이피어,43477,5.57%
고급무기,약한 신수의 클레이모어,43465,5.57%
고급무기,붉은 표식의 쿠나이,43195,5.53%
고급무기,블렉 아이언 클레이모어,42970,5.50%
고급무기,퍼플 룬 로드,42961,5.50%
고급무기,블루 룬 스틱,43334,5.55%
