,아이템 이름,등장 횟수,등장 확률
전설캐릭,초록사월 아낙,302,0.10%
전설캐릭,쿤 란,275,0.09%
전설캐릭,하 유리,312,0.11%
전설캐릭,사냥꾼 라크,311,0.11%
전설캐릭,유한성,291,0.10%
전설캐릭,화련,288,0.10%
전설캐릭,시아시아,327,0.11%
전설캐릭,우렉 마지노,284,0.10%
전설캐릭,리플레조,296,0.10%
전설캐릭,베타,293,0.10%
전설캐릭,에반,299,0.10%
전설캐릭,백천경 쿤,149,0.05%
전설캐릭,연이화,595,0.20%
전설무기,초록사월(폼 체인지),49,0.02%
전설무기,검은 삼월,55,0.02%
전설무기,푸른번개의 핵,55,0.02%
전설무기,고고한 힘의 머리핀,219,0.07%
전설무기,백천경,34,0.01%
전설무기,익스플로드 너클 블레이드,58,0.02%
전설무기,매드쇼커,42,0.01%
전설무기,가시,52,0.02%
전설무기,신수제어의 헤어핀,42,0.01%
전설무기,레드 트윈 블레이드,49,0.02%
전설무기,블랙래빗폭탄,48,0.02%
전설무기,마지노 윙트리,37,0.01%
전설무기,개구리 피셔,47,0.02%
전설무기,어두운 신수의 리퍼,53,0.02%
전설무기,살아있는 시동무기_프로토타입,48,0.02%
전설무기,자하드 레바테인,46,0.02%
전설무기,퍼그 완드,49,0.02%
전설무기,가디언 보우,44,0.01%
전설무기,블루 룬 엔젤릭 스피어,46,0.02%
영웅캐릭,엔도르시,1645,0.56%
영웅캐릭,하츠,1557,0.53%
영웅캐릭,호량,1585,0.54%
영웅캐릭,미생,1604,0.55%
영웅캐릭,쿤 A.A,1544,0.53%
영웅캐릭,로 포 비아 렌,1599,0.54%
영웅캐릭,라헬,1667,0.57%
영웅캐릭,자왕난,1521,0.52%
영웅캐릭,라우뢰,1649,0.56%
영웅캐릭,러브,1475,0.50%
영웅캐릭,노빅,1596,0.54%
영웅캐릭,퀀트 블릿츠,1550,0.53%
영웅캐릭,십이수,1546,0.53%
영웅캐릭,미니 라크,1521,0.52%
영웅무기,레드아이 니들,982,0.33%
영웅무기,동해,927,0.32%
영웅무기,신수의 건틀릿,959,0.33%
영웅무기,수상한 메신저백,931,0.32%
영웅무기,렌의 플레일,939,0.32%
영웅무기,노란 등대,1060,0.36%
영웅무기,포근한 이불,937,0.32%
영웅무기,이그니션 건틀릿,954,0.32%
영웅무기,레빗돌,960,0.33%
영웅무기,푸른 글러브,1004,0.34%
영웅무기,반물질 폭탄,991,0.34%
영웅무기,트윈서클 부매랑,923,0.31%
영웅무기,재빠른 글러브,994,0.34%
영웅무기,초 필살 킹 오브 매저스티 옵저버,907,0.31%
영웅무기,라센 쿠나이,914,0.31%
영웅무기,핑크 쿠르카,974,0.33%
영웅무기,어트렉트 블레이드,949,0.32%
영웅무기,엔젤릭 블레이드,914,0.31%
영웅무기,다크 체이서 북,940,0.32%
영웅무기,크라운 보우,927,0.32%
희귀무기,카오스 대거,2225,0.76%
희귀무기,와이드 스피어,2174,0.74%
희귀무기,체인 소드,2211,0.75%
희귀무기,사이로 소드,2109,0.72%
희귀무기,사이로 스피어,2086,0.71%
희귀무기,레인보우 소드,2160,0.74%
희귀무기,레인보우 스피어,2232,0.76%
희귀무기,본 대거,2179,0.74%
희귀무기,본 블레이드,2256,0.77%
희귀무기,본 스틱,2169,0.74%
희귀무기,본 로드,2205,0.75%
희귀무기,극동의 스틱,2203,0.75%
희귀무기,극동의 트윈 블레이드,2214,0.75%
희귀무기,엔젤 스틱,2263,0.77%
희귀무기,냥냥 메이스,2180,0.74%
희귀무기,냥냥 블레이드,2274,0.77%
희귀무기,마법공학 클레이모어,2150,0.73%
희귀무기,마법공학 스피어,2223,0.76%
희귀무기,마법공학 엑스,2212,0.75%
희귀무기,레드포인트 보우,2172,0.74%
희귀무기,블루 신수의 로드,2305,0.78%
희귀무기,신해어 커틀러스,2239,0.76%
희귀무기,골든 레이피어,2142,0.73%
희귀무기,블루포인트 랜스,2282,0.78%
고급무기,블루 룬 보우,16025,5.46%
고급무기,핑크 룬 스틱,16057,5.47%
고급무기,블루 룬 해머,16211,5.52%
고급무기,레드 너클,16221,5.52%
고급무기,블루 룬 엑스,16317,5.56%
고급무기,레드 룬 소드,16324,5.56%
고급무기,레이피어,16191,5.51%
고급무기,약한 신수의 클레이모어,16188,5.51%
고급무기,붉은 표식의 쿠나이,16463,5.61%
고급무기,블렉 아이언 클레이모어,16164,5.50%
고급무기,퍼플 룬 로드,16306,5.55%
고급무기,블루 룬 스틱,16141,5.50%
